statemod_diversion,individual_diversion
3600649_D, 3600649 
3600649_D, 3600541 
3600649_D, 3600849 
3600649_D, 3600850 
3600649_D, 3600851 
3600649_D, 3600800 
3600649_D, 3600659 
5100529_D, 5100529 
5100529_D, 5100584 
7200512_D, 7200512 
7200512_D, 7201072 
7200852_D, 7200852 
7200852_D, 7200555 
5000653_D, 5000653 
5000653_D, 5000741 
5000653_D, 5000756 
4500576_D, 4500576 
4500576_D, 4500828 
4500693_D, 4500693 
4500693_D, 4500585 
4500693_D, 4500574 
7200730_D, 7200730 
7200730_D, 7200810 
7000583_D, 7000583
7000583_D, 7000507 
5300767_D, 5300767 
5300767_D, 5301059 
5100880_D, 5100880 
5100880_D, 5100922 
4500632_D, 4500632 
4500632_D, 4500558 
3900546_D, 3900546 
3900546_D, 3900666 
3801096_D, 3801096 
3801096_D, 3801095 
3600776_D, 3600776 
3600776_D, 3600777 
3600868_D, 3600868 
3600868_D, 3600555 
3600662_D, 3600662 
3600662_D, 3600946 
3600662_D, 3601018 
3600662_D, 3601047 
3600662_D, 3601020 
3600662_D, 3601019 
3600662_D, 3600945 
3600662_D, 3601048 
3600662_D, 3601049 
3800880_D, 3800880 
3800880_D, 3801633 
5000734_D, 5000734 
5000734_D, 5000548 
5300555_D, 5300555 
5300555_D, 5300519 
5300555_D, 5300521 
5101309_D, 5101309 
5101309_D, 5100593 
7201329_D, 7201329 
7201329_D, 7201235 
7200820_D, 7200820 
7200820_D, 7200819 
5100941, 5100941 
5100941, 5101231 
5300883, 5300883 
5300883, 5200731 
3600801, 3600801
3600801, 3600832
36_ADC017, 3600535
36_ADC017, 3600540
36_ADC017, 3600542
36_ADC017, 3600569
36_ADC017, 3600571
36_ADC017, 3600591
36_ADC017, 3600597
36_ADC017, 3600609
36_ADC017, 3600611
36_ADC017, 3600617
36_ADC017, 3600637
36_ADC017, 3600640
36_ADC017, 3600654
36_ADC017, 3600678
36_ADC017, 3600705
36_ADC017, 3600706
36_ADC017, 3600717
36_ADC017, 3600720
36_ADC017, 3600721
36_ADC017, 3600723
36_ADC017, 3600726
36_ADC017, 3600727
36_ADC017, 3600741
36_ADC017, 3600742
36_ADC017, 3600759
36_ADC017, 3600761
36_ADC017, 3600763
36_ADC017, 3600766
36_ADC017, 3600791
36_ADC017, 3600794
36_ADC017, 3600795
36_ADC017, 3600797
36_ADC017, 3600810
36_ADC017, 3600811
36_ADC017, 3600812
36_ADC017, 3600813
36_ADC017, 3600816
36_ADC017, 3600818
36_ADC017, 3600819
36_ADC017, 3600838
36_ADC017, 3600852
36_ADC017, 3600856
36_ADC017, 3600857
36_ADC017, 3600861
36_ADC017, 3600862
36_ADC017, 3600872
36_ADC017, 3600873
36_ADC017, 3600874
36_ADC017, 3600875
36_ADC017, 3600987
36_ADC017, 3600991
36_ADC017, 3601017
36_ADC018, 3600526
36_ADC018, 3600567
36_ADC018, 3600568
36_ADC018, 3600577
36_ADC018, 3600633
36_ADC018, 3600644
36_ADC018, 3600646
36_ADC018, 3600647
36_ADC018, 3600689
36_ADC018, 3600691
36_ADC018, 3600696
36_ADC018, 3600699
36_ADC018, 3600702
36_ADC018, 3600733
36_ADC018, 3600745
36_ADC018, 3600746
36_ADC018, 3600764
36_ADC018, 3600966
36_ADC019, 3600514
36_ADC019, 3600517
36_ADC019, 3600520
36_ADC019, 3600545
36_ADC019, 3600546
36_ADC019, 3600593
36_ADC019, 3600595
36_ADC019, 3600596
36_ADC019, 3600643
36_ADC019, 3600651
36_ADC019, 3600652
