,snowpack,diversion,storage
1950-10-01,294.0148636363636,15.364,270.61
1950-11-01,264.13017810025957,30.896,256.944
1950-12-01,237.42968266963425,60.2,243.442
1951-01-01,289.40782916860644,85.812,219.667
1951-02-01,285.87614515777193,114.878,196.876
1951-03-01,342.348659030722,141.061,170.089
1951-04-01,326.9705570460058,158.51600000000002,146.21
1951-05-01,305.8223536963462,189.044,136.213
1951-06-01,241.8652281599706,221.555,183.068
1951-07-01,82.34723977542923,230.17700000000002,280.135
1951-08-01,23.77701374388982,240.45000000000002,335.996
1951-09-01,5.1432979025132886,256.612,336.902
1951-10-01,284.5530174494198,12.852,324.443
1951-11-01,264.13017810025957,23.999000000000002,316.708
1951-12-01,237.42968266963425,43.04900000000001,307.792
1952-01-01,228.49957506313092,69.08200000000001,294.319
1952-02-01,337.11823147380943,99.62800000000001,271.631
1952-03-01,439.3332196153891,125.811,243.708
1952-04-01,364.966840785863,143.26600000000002,220.932
1952-05-01,392.5394205879954,155.12,237.005
1952-06-01,328.3410362548247,175.471,330.177
1952-07-01,113.56104761910247,178.86,460.011
1952-08-01,27.687010569196115,187.15,491.775
1952-09-01,7.25031290547421,194.472,495.35
1952-10-01,279.6921140388012,11.545,493.158
1952-11-01,268.1097607601705,21.476,484.135
1952-12-01,237.42968266963425,35.289,475.712
1953-01-01,228.49957506313092,58.29900000000001,463.28
1953-02-01,209.24193096280175,86.653,443.75
1953-03-01,252.17405927476057,112.83600000000001,417.914
1953-04-01,226.33197786468122,130.291,394.888
1953-05-01,210.47962145535203,162.832,383.762
1953-06-01,146.7877525021166,195.559,399.913
1953-07-01,48.02862372745303,204.634,477.539
1953-08-01,19.47809319986235,212.212,490.566
1953-09-01,6.41512929332742,226.384,491.404
1953-10-01,294.0148636363636,18.19,478.011
1953-11-01,264.13017810025957,33.938,460.311
1953-12-01,237.42968266963425,64.25,446.179
1954-01-01,228.49957506313092,89.36,420.967
1954-02-01,216.29774708696618,118.786,398.261
1954-03-01,208.51735696991886,144.969,370.646
1954-04-01,187.73081191021285,162.42399999999998,349.127
1954-05-01,175.68832318218992,196.24199999999996,347.795
1954-06-01,112.09324840178793,228.96899999999997,364.806
1954-07-01,35.50549606808128,261.49299999999994,365.556
1954-08-01,14.671377828817514,281.27099999999996,345.345
1954-09-01,5.759136996148312,307.828,323.9
1954-10-01,294.0148636363636,18.546,302.661
1954-11-01,268.1097607601705,36.001,290.847
1954-12-01,299.9659595509489,69.81899999999999,276.296
1955-01-01,289.40782916860644,95.35399999999998,245.021
1955-02-01,239.19650499825272,124.77999999999999,222.507
1955-03-01,254.17147794252077,150.963,195.43
1955-04-01,221.8752799558638,168.418,172.267
1955-05-01,212.7418862485554,202.236,168.974
1955-06-01,149.04372336378373,234.963,195.96
1955-07-01,48.842925929749455,268.781,232.061
1955-08-01,19.580096743991433,292.751,225.744
1955-09-01,6.425507237775462,322.947,208.241
1955-10-01,279.6921140388012,17.118,179.013
1955-11-01,264.13017810025957,34.57299999999999,163.689
1955-12-01,299.9659595509489,66.179,150.074
1956-01-01,289.40782916860644,89.928,123.837
